Name East-X North-Y NumSamples
Depth-m SoilType Color Hardness
ABH01 2073287.934 5173890.601 15
0 Concrete grey Hard
1.5 Clay brown Firm
3 Clay brown Firm
4.5 Silt grey Soft
6 Silt grey Soft
7.5 Silt grey Soft
9 Silt yellowish-grey Soft
10.5 Clay grey Hard
12 Clay grey Hard
13.5 Clay grey Hard
13.9 SiltStone dark-grey Moderately-strong
14.6 SiltStone dark-grey Moderately-strong
15.6 SiltStone dark-grey Moderately-strong
17.1 SandStone dark-grey Strong
18.6 SandStone dark-grey Strong
ABH02 2073362.806 5173808.437 15
0 Concrete grey Hard
1.5 Silt brown Soft
3 Silt grey Firm
4.5 Silt grey Firm
6 Silt grey Firm
7.5 Silt grey Stiff
9 Silt dark-grey Hard
10.5 Clay grey Hard
12 Clay grey Hard
13 MudStone grey Moderately-strong
13.8 MudStone grey Moderately-strong
15.3 MudStone grey Moderately-strong
16.8 MudStone grey Moderately-strong
17.8 MudStone grey Moderately-strong
19 MudStone grey Moderately-strong
ABH03 2073423.751 5173714.124 11
0 Silt grey Firm
1.5 Silt dark-grey Hard
3 Silt dark-grey Stiff
4.5 Silt dark-grey Hard
5.5 Shale dark-grey Weak
6.5 Shale dark-grey Weak
7.5 Shale dark-grey Weak
8.5 Shale dark-grey Weak
9.2 Shale dark-grey Weak
10.6 Shale dark-grey Weak
11.5 Shale dark-grey Weak
ABH04 2073446.729 5173633.359 18
0 Silt brownish-yellow Firm
1.5 Sand brownish-grey Loose
3 Sand brownish-grey Loose
4.5 Sand brownish-grey Loose
5 Sand brownish-grey Loose
6 Silt brownish-yellow Firm
7.5 Silt brownish-yellow Firm
9 Sand brownish-yellow Medium
10.5 Sand brownish-yellow Medium
12 Sand brownish-grey Loose
13.5 Sand grey Medium
15 Sand grey Dense
16.5 Sand grey Dense
18 Sand grey Dense
19.5 Sand grey Dense
21 Silt dark-grey Hard
22.5 Silt dark-grey Hard
24 Silt dark-grey Hard
ABH05 2073473.1 5173427.75 19
0 Silt brown Firm
1.5 Silt light-brown Soft
3 Silt light-brown Soft
4.5 Silt light-brown Soft
5 Silt light-brown Soft
6 Silt whitish-grey Firm
7.5 Silt whitish-grey Firm
9 Silt whitish-grey Firm
10.5 Sand grey Medium
12 Sand grey Medium
13.5 Sand grey Medium
15 Sand grey Dense
16.5 Sand grey Dense
18 Sand grey Dense
19.5 Sand grey Dense
21 Sand grey Dense
22.5 Sand grey Dense
24 Sand grey Dense
25.5 Sand grey Dense
ABH06 2073489.685 5173302.133 11
0 Sand light-yellow Soft
1.5 Silt yellowish-grey Firm
3 Silt yellowish-grey Stiff
4.5 Silt grey Stiff
6 Sand grey Dense
7.5 Sand grey Dense
9 SandStone grey Moderately-strong
10.5 SandStone grey Strong
12 SandStone grey Strong
13.5 SandStone grey Strong
15 SandStone grey Strong
ABH07 2073583.157 5172781.709 21
0 Sand grey Soft
1.5 Clay grey Soft
3 Sand grey Loose
4.5 Clay grey Firm
6 Clay grey Firm
7.5 Sand grey Medium
9 Silt grey Hard
10.5 Silt grey Hard
12 Silt grey Hard
13.5 Silt grey Hard
15 Silt grey Hard
16.5 Sand grey Dense
18 Sand grey Dense
19.5 Sand grey Dense
21 Sand grey Dense
22.5 Sand grey Dense
24.1 SandStone grey Weak
24.9 SandStone grey Strong
26.1 SandStone grey Strong
27.6 SandStone grey Strong
28.6 SandStone grey Strong
ABH08 2073137.005 5172811.032 16
0 Concrete grey Strong
1.5 Sand brown Loose
3 Silt grey Soft
4.5 Silt brown Stiff
6 Clay grey Stiff
7.5 Clay grey Stiff
9 Sand dark-grey Dense
10.5 Sand dark-grey Dense
12 Sand dark-grey Dense
13.5 SandStone dark-grey Strong
15 SandStone dark-grey Strong
16.5 MudStone dark-grey Strong
17.1 MudStone dark-grey Strong
17.8 MudStone dark-grey Strong
18.5 SandStone dark-grey Strong
19.5 SandStone dark-grey Strong
ABH09 2073636 5174116 10
0 Silt brownish-grey Soft
1.5 Silt brown Soft
3 Silt whitish-grey Soft
4.5 Sand grey Dense
5.5 Shale dark-grey Weak
7 Shale dark-grey Weak
8.5 Shale dark-grey Weak
9.5 Shale dark-grey Weak
10 Shale dark-grey Weak
11.5 Shale dark-grey Weak
ABH10 2073332.799 5172531.719 11
0 Water blue Soft
0.5 Silt grey Soft
2 Silt grey Soft
3.5 Silt grey Firm
5 Clay grey Firm
6.5 Clay grey Stiff
7.5 Shale dark-grey Weak
9 Shale dark-grey Weak
10.5 Shale dark-grey Weak
12 SandStone dark-grey Weak
13.5 SandStone dark-grey Weak
ABH11 2073452.479 5172477.383 9
0 Water blue Soft
0.6 Silt grey Stiff
2.1 Sand grey Dense
3.6 Sand grey Dense
4 SandStone grey Weak
5.5 SandStone grey Weak
7 SandStone grey Weak
8.5 SandStone grey Weak
10 SandStone grey Weak
